identifier,player_id,player_name_ja,team,url_used,http_status,found_roman,found_kana,roman_sample,kana_sample,roman_source,outcome
大山　悠輔::阪神タイガース,,大山　悠輔,阪神タイガース,,0,False,False,,,,NO_PLAYER_ID
寺地　隆成::千葉ロッテマリーンズ,,寺地　隆成,千葉ロッテマリーンズ,,0,False,False,,,,NO_PLAYER_ID
森下　翔太::阪神タイガース,,森下　翔太,阪神タイガース,,0,False,False,,,,NO_PLAYER_ID
吉川　尚輝::読売ジャイアンツ,,吉川　尚輝,読売ジャイアンツ,,0,False,False,,,,NO_PLAYER_ID
長谷川　信哉::埼玉西武ライオンズ,,長谷川　信哉,埼玉西武ライオンズ,,0,False,False,,,,NO_PLAYER_ID
上林　誠知::中日ドラゴンズ,,上林　誠知,中日ドラゴンズ,,0,False,False,,,,NO_PLAYER_ID
中野　拓夢::阪神タイガース,,中野　拓夢,阪神タイガース,,0,False,False,,,,NO_PLAYER_ID
内山　壮真::東京ヤクルトスワローズ,,内山　壮真,東京ヤクルトスワローズ,,0,False,False,,,,NO_PLAYER_ID
西川　史礁::千葉ロッテマリーンズ,,西川　史礁,千葉ロッテマリーンズ,,0,False,False,,,,NO_PLAYER_ID
牧原　大成::福岡ソフトバンクホークス,,牧原　大成,福岡ソフトバンクホークス,,0,False,False,,,,NO_PLAYER_ID
