year,season_key,team,games
1936,1936f,大阪タイガース,31
1936,1936f,阪急,30
1936,1936f,大東京,28
1936,1936f,名古屋金鯱,28
1936,1936f,東京セネタース,28
1936,1936f,東京巨人,27
1936,1936f,名古屋,26
1936,1936s,阪急,8
1936,1936s,東京セネタース,8
1936,1936s,東京巨人,7
1936,1936s,名古屋,7
1936,1936s,名古屋金鯱,7
1936,1936s,大阪タイガース,6
1936,1936s,大東京,5
1937,1937s,東京巨人,56
1937,1937s,大阪タイガース,56
1937,1937s,東京セネタース,56
1937,1937s,阪急,56
1937,1937s,名古屋金鯱,56
1937,1937s,大東京,56
1937,1937s,名古屋,56
1937,1937s,イーグルス,56
1937,1937f,大阪タイガース,49
1937,1937f,イーグルス,49
1937,1937f,名古屋金鯱,49
1937,1937f,ライオン,49
1937,1937f,阪急,49
1937,1937f,名古屋,49
1937,1937f,東京巨人,48
1937,1937f,東京セネタース,48
1938,1938f,東京巨人,40
1938,1938f,大阪タイガース,40
1938,1938f,阪急,40
1938,1938f,名古屋,40
1938,1938f,東京セネタース,40
1938,1938f,ライオン,40
1938,1938f,イーグルス,40
1938,1938f,南海,40
1938,1938f,名古屋金鯱,40
1938,1938s,大阪タイガース,35
1938,1938s,東京巨人,35
1938,1938s,阪急,35
1938,1938s,イーグルス,35
1938,1938s,東京セネタース,35
1938,1938s,名古屋金鯱,35
1938,1938s,名古屋,35
1938,1938s,ライオン,35
1940,1940,翼,105
1940,1940,南海,105
1940,1940,東京巨人,104
1940,1940,阪神,104
1940,1940,阪急,104
1940,1940,名古屋,104
1940,1940,黒鷲,104
1940,1940,名古屋金鯱,104
1940,1940,ライオン,104
1941,1941,大洋,87
1941,1941,東京巨人,86
1941,1941,阪急,85
1941,1941,黒鷲,85
1941,1941,朝日,85
1941,1941,南海,84
1941,1941,阪神,84
1941,1941,名古屋,84
1949,1949,東急フライヤーズ,138
1949,1949,中日ドラゴンズ,137
1949,1949,大阪タイガース,137
1949,1949,阪急ブレーブス,136
1949,1949,南海ホークス,135
1949,1949,読売ジャイアンツ,134
1949,1949,大映スターズ,134
1949,1949,大陽ロビンス,133
